ds,yhat,yhat_lower,yhat_upper,RegionName
1996-04-30,78741.64244746442,77549.3798503454,79999.43843761375,Alabama
1996-05-31,78922.39984416566,77660.05622377925,80174.14650734465,Alabama
1996-06-30,79246.25840914791,77956.19142356698,80585.59436808857,Alabama
1996-07-31,79539.62420953269,78263.76835355753,80822.20101788398,Alabama
1996-08-31,79655.8342550014,78400.96571263245,80922.66467349489,Alabama
1996-09-30,79664.94147769458,78330.27241189421,80985.12786550599,Alabama
1996-10-31,79813.61212306199,78551.44521388593,81030.76324128105,Alabama
1996-11-30,80202.3632240695,78989.43633218021,81495.59493281768,Alabama
1996-12-31,80534.9679748056,79324.75377467998,81768.26302202692,Alabama
1997-01-31,80658.94427744801,79408.84870790059,81927.73374442982,Alabama
1997-02-28,80744.8401781242,79472.18792495815,82127.5258278183,Alabama
1997-03-31,80915.02354188725,79647.91101876415,82250.62330835819,Alabama
1997-04-30,81174.05182300597,79907.79165982746,82422.85989217367,Alabama
1997-05-31,81330.99828786432,80002.48902568872,82653.97049999046,Alabama
1997-06-30,81574.82081447632,80339.41404248748,82857.9773818659,Alabama
1997-07-31,81825.8167829947,80600.49741618558,83080.15281160826,Alabama
1997-08-31,81993.25780355479,80732.06835729103,83292.90478338153,Alabama
1997-09-30,82137.19288649333,80888.85129003311,83418.28724676723,Alabama
1997-10-31,82454.84007479163,81250.27036940413,83695.96735843693,Alabama
1997-11-30,82823.0832973224,81516.56716833297,84161.49475127838,Alabama
1997-12-31,83180.70864754356,81893.85322020293,84563.4627561052,Alabama
1998-01-31,83441.54412685569,82150.9163207488,84774.38466556979,Alabama
1998-02-28,83739.53127391089,82475.19656614681,85015.30505153467,Alabama
1998-03-31,84100.78687278676,82808.21657812083,85412.80747988698,Alabama
1998-04-30,84433.55010166165,83156.16153036879,85697.11654965839,Alabama
1998-05-31,84686.83576984072,83331.13027404634,85888.87221562745,Alabama
1998-06-30,84968.36138814698,83750.71626785799,86228.1730482224,Alabama
1998-07-31,85300.9203574831,83951.61459501115,86629.4849004799,Alabama
1998-08-31,85643.67010576927,84364.06338006376,86930.55665173497,Alabama
1998-09-30,86039.02368250853,84782.5823033107,87323.84204280877,Alabama
1998-10-31,86400.14194559521,85200.50769435069,87616.98403610304,Alabama
1998-11-30,86627.79449898764,85443.56577639768,87947.45801639582,Alabama
1998-12-31,86891.50238593473,85709.76248374375,88193.34381514172,Alabama
1999-01-31,87171.47796810826,85894.95855452013,88457.2099059791,Alabama
1999-02-28,87573.70559776896,86295.25177498757,88877.30930037341,Alabama
1999-03-31,88002.81004983738,86646.93783105914,89269.09549043079,Alabama
1999-04-30,88289.43841902715,87015.47412021426,89580.75922153422,Alabama
1999-05-31,88516.94337434476,87316.16238095747,89769.7468409501,Alabama
1999-06-30,88719.51883590924,87464.06572794971,90000.063645463,Alabama
1999-07-31,89015.28596334094,87762.17136467238,90274.83419234466,Alabama
1999-08-31,89414.99501488589,88123.3334612061,90615.68076979043,Alabama
1999-09-30,89943.6374545448,88651.0706744159,91251.60156658034,Alabama
1999-10-31,90242.03396688071,88956.15614005196,91480.56035822407,Alabama
1999-11-30,90227.9440182822,88935.29483416048,91536.65243006198,Alabama
1999-12-31,90298.30303630178,89005.14561745402,91579.11963909508,Alabama
2000-01-31,90499.0492922627,89253.45142168565,91743.4069709387,Alabama
2000-02-29,90842.83128378286,89591.08434208043,92063.27143667595,Alabama
2000-03-31,90960.5109137526,89781.8495963753,92379.54218560558,Alabama
2000-04-30,91279.14969996148,90074.18433021134,92579.7813958917,Alabama
2000-05-31,91479.26860553096,90169.58451441619,92656.75698885153,Alabama
2000-06-30,91821.8641145797,90606.21432649907,93045.9227807534,Alabama
2000-07-31,92131.81109175226,90761.21329564332,93492.64184609201,Alabama
2000-08-31,92264.60231400734,91066.78184564177,93583.48029699111,Alabama
2000-09-30,92289.75583681736,91036.317109307,93487.62508277582,Alabama
2000-10-31,92455.0076589724,91189.31401870072,93753.41599455796,Alabama
2000-11-30,92859.80506009662,91593.71558228295,94167.29452798396,Alabama
2000-12-31,93208.99098761965,91936.69965738464,94476.79528384327,Alabama
2001-01-31,93349.5484677244,92128.11113027709,94624.10538609677,Alabama
2001-02-28,93450.42091578538,92249.78965597556,94720.56680949878,Alabama
2001-03-31,93637.1854582108,92325.16969627318,94856.7139723095,Alabama
2001-04-30,93912.26004126106,92636.04305804752,95227.65152637975,Alabama
2001-05-31,94085.78768478204,92865.63373025355,95336.88755062403,Alabama
2001-06-30,94345.65651332567,93146.5492018675,95635.85866014431,Alabama
2001-07-31,94613.23366050654,93383.44836505843,95874.93270341438,Alabama
